X,Y,Z,azimuth,dip,polarity,formation
247130.0141230769,6709195.429630773,27.529869230769236,102.4329,0,1,Sa
246949.887375,6709194.423281249,20.799343750000006,282.4328,0,1,Hk
246983.54748000007,6709227.011520002,19.65765333333333,282.4328,0,1,Mr
247602.77837931036,6709163.231068966,26.624643678160915,21.536751113822085,89.40738621791027,1,Ki
246924.53510526312,6709203.097736841,23.046473684210525,282.4328,0,1,Sr
247569.46818181823,6709184.385909092,28.941090909090907,199,0,1,Srmr
