PO,OM,Or,TY,TT,X,Y,Z,pvm,nro,AL,KL,SA,Si,KI,Sa,liSa,Hk,Sr,SrMr,Ki,Mr,Hksa,Sasi,Srmr,Hksr,Ka,Paattymissyvyys
,Kaarinan kaupunki,Kaarinan kaupunki,1483,PA  0 0,6709157.257,246177.529,26.701,22012014,16,0.00,,[],[],[],"['0.40', '0.60', '0.80', '1.00', '1.20', '1.40', '1.60', '1.80', '2.00', '2.20', '2.40', '2.60', '2.80', '3.00', '3.20', '3.40', '3.60', '3.80', '4.00', '4.20', '4.40', '4.60', '4.80', '5.00', '5.20', '5.40', '5.60', '5.80', '6.00', '6.20', '6.40', '6.60', '6.80', '7.00', '7.20', '7.40', '7.60', '7.80']",[],[],[],[],[],[],[],[],[],[],[],18.84
,Kaarinan kaupunki,Kaarinan kaupunki,14538,PA      -       0,6709029.759,246268.888,26.112,14122020,4,000.00  -,,[],[],[],['000.40'],[],['009.40'],['010.20'],[],[],['010.60'],[],[],[],[],[],017.24
,Kaarinan kaupunki,Kaarinan kaupunki,14538,PA - 0,6709081.73,246350.309,25.488,15122020,3,000.00  -,,[],[],[],"['000.20', '015.71']",[],[],[],[],[],['015.75'],[],[],[],[],[],015.75
,Kaarinan kaupunki,Kaarinan kaupunki,14538,SI  0 0,6709169.918,246402.338,25.563,13012021,10,0.00,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],15.00
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,6709205.223,247238.883,27.282,17022020,65,001.00  -         Ta,,[],[],[],['001.20'],[],[],[],[],['003.36'],['003.50'],[],[],[],[],[],003.50
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,6709189.497,247302.984,27.237,09022022,66,0.20,,[],[],[],['0.80'],[],[],[],[],['4.68'],[],[],[],[],[],[],4.68
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,6709102.122,247321.192,36.756,10022022,61,0.20,,[],[],[],['0.40'],[],[],[],[],['0.80'],[],[],[],[],[],[],0.88
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,6709086.965,247347.99,35.426,10022022,60,0.20,,[],[],[],['0.40'],[],[],[],[],['0.56'],[],[],[],[],[],[],0.58
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,6709080.052,247434.209,30.891,10022022,55,0.20,,[],[],[],['0.40'],[],[],[],[],['0.68'],[],[],[],[],[],[],0.80
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,6709213.353,247527.764,30.229,11022020,28,000.40  -,,[],[],[],[],[],[],[],[],['000.73'],['001.36'],[],[],['000.60'],[],[],001.36
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,6709195.473,247689.899,32.291,18022020,17,000.20  -,,[],[],[],"['000.40', '001.40']",[],[],['001.20'],[],['002.12'],"['001.60', '001.80', '002.33']",[],[],[],[],[],002.33
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,6709094.023,247714.574,29.218,10022020,35,000.60  -,,[],[],[],"['000.80', '006.60']",[],['011.00'],['011.80'],[],['012.11'],['013.31'],[],[],[],[],[],013.31
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,6708937.957,247757.31,29.249,11022020,83,000.60  -,,[],[],[],['000.80'],[],['011.60'],[],[],['013.05'],['012.80'],[],[],['012.00'],[],[],013.06
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,6708853.639,247759.155,29.809,11022022,39,0.20,,[],[],[],"['0.60', '1.40']",[],[],[],[],"['13.92', '16.06', '18.12']",[],[],[],[],[],[],19.20
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,6709204.035,247824.02,31.707,11022022,13,0.20,,[],[],[],"['0.94', '1.46']",[],[],[],[],"['0.36', '1.08', '4.12']",[],[],[],[],[],[],4.14
,Kaarinan kaupunki,Kaarinan kaupunki,1480,PA  0 0,6709467.932,246134.606,28.961,17012014,4,0.00,,[],[],[],"['0.40', '0.60', '0.80', '1.40', '1.60', '1.80', '2.00', '2.20', '2.40', '2.60', '2.80', '3.00', '3.20', '3.40', '3.60', '3.80', '4.00', '4.20', '4.40', '4.60', '4.80', '5.00', '5.20']",[],[],[],[],[],[],[],[],[],[],[],7.44
,Kaarinan kaupunki,Kaarinan kaupunki,14538,PA - 0,6709336.924,246215.556,27.25,11122020,23,000.00  -,,[],[],[],['000.20'],[],[],['018.80'],[],[],"['020.00', '020.21', '020.51']",[],[],[],[],[],020.51
,Kaarinan kaupunki,Kaarinan kaupunki,1483,PA  0 0,6709270.165,246244.928,26.751,22012014,13,0.00,,[],[],[],"['0.40', '0.80', '1.00', '1.20', '1.40', '1.60', '1.80', '2.00', '2.20', '2.40', '2.60', '2.80', '3.00', '3.20', '3.40', '3.60', '3.80', '4.00', '4.20', '4.40', '4.60', '4.80', '5.00', '5.20', '5.40', '5.60', '5.80', '6.00', '6.20', '6.40', '6.60', '6.80', '7.00', '7.20', '7.40', '7.60', '7.80', '8.00', '8.20', '8.40', '8.60', '8.80', '9.00', '9.20', '9.40', '9.60', '9.80', '10.00', '10.20', '10.40', '10.60', '10.80', '11.00', '11.20', '11.40', '11.60', '11.80', '12.00', '12.20', '12.40', '12.60', '12.80', '13.00', '13.20', '13.40', '13.60', '13.80', '14.00', '14.20', '14.40', '14.60', '14.80', '15.00', '15.20', '15.40', '15.60', '15.80', '16.00', '16.20', '16.40', '16.60', '16.80', '17.00', '17.20', '17.40', '17.60', '17.80', '18.00', '18.20', '18.40']",[],[],[],[],[],[],[],[],[],[],[],20.78
,Kaarinan kaupunki,Kaarinan kaupunki,14538,PA - 0,6709289.712,246252.433,26.462,11122020,24,000.00  -,,[],[],[],['000.20'],[],[],[],[],[],['018.56'],[],[],[],[],[],018.56
,Kaarinan kaupunki,Kaarinan kaupunki,1480,PA  0 0,6709535.824,246262.814,28.592,17012014,3,0.00,,[],[],[],"['0.40', '1.00', '1.20', '1.40', '1.60', '1.80', '2.00', '2.20', '2.40', '2.60', '2.80', '3.00', '3.20', '3.40', '3.60', '3.80', '4.00', '4.20', '4.40', '4.60', '4.80', '5.00', '5.20', '5.40', '5.60', '5.80', '6.00', '6.20', '6.40', '6.60', '6.80', '7.00', '7.20', '7.40', '7.60', '7.80', '8.00', '8.20', '8.40', '8.60', '8.80', '9.00', '9.20']",[],[],[],[],[],[],[],[],[],[],[],11.28
,Kaarinan kaupunki,Kaarinan kaupunki,14538,PA - 0,6709360.223,246298.219,26.49,11122020,25,000.00  -        Ma,,[],[],[],['000.20'],[],[],[],[],[],"['018.50', '019.69']",[],[],[],[],[],019.71
,Kaarinan kaupunki,Kaarinan kaupunki,14538,PA - 0,6709400.263,246404.624,26.274,15122020,27,000.00  -,,[],[],[],"['000.20', '013.96']",[],[],[],[],[],['014.06'],[],[],[],[],[],014.06
